command_path,mcp_tool_name,status,commit_hash,completion_time,notes
project/ssh,mittwald_project_ssh,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-project-ssh.md
project/update,mittwald_project_update,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-project-update.md
project,mittwald_project,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-project.md
server/get,mittwald_server_get,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-server-get.md
server/list,mittwald_server_list,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-server-list.md
server,mittwald_server,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-server.md
sftp/user/create,mittwald_sftp_user_create,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-sftp-user-create.md
