command_path,mcp_tool_name,status,commit_hash,completion_time,notes
app/dependency/update,mittwald_app_dependency_update,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-dependency-update.md
app/dependency/versions,mittwald_app_dependency_versions,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-dependency-versions.md
app/dependency,mittwald_app_dependency,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-dependency.md
app/download,mittwald_app_download,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-download.md
app/get,mittwald_app_get,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-get.md
app/install/contao,mittwald_app_install_contao,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-install-contao.md
app/install,mittwald_app_install,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-install.md
app/list/upgrade/candidates,mittwald_app_list_upgrade_candidates,pending,,,CLI: /Users/robert/Code/Mittwald/cli-commands/mw-app-list-upgrade-candidates.md
